ticker,segment,sharpe,cagr,vol,max_dd
A17U.SI,full,0.1696397344025311,0.013666088800967646,0.20949700256237574,-0.6641240021443935
A17U.SI,in_sample,0.17082256448762634,0.012642164491415864,0.23383400401919843,-0.6641240021443935
A17U.SI,oos,0.18419510351675308,0.016686761038764875,0.15445037215206525,-0.26164210749293415
AJBU.SI,full,0.34951920841138584,0.0458376888716272,0.1695526540757891,-0.3202997634519329
AJBU.SI,in_sample,0.03589595175479942,-0.002995897671380976,0.12129811365683017,-0.1716518152659673
AJBU.SI,oos,0.47135478968249267,0.07447886656748559,0.19155979965989,-0.320299763451932
DCRU.SI,full,-0.30620881395407484,-0.13248987941713875,0.30879079025626555,-0.5661084326757275
DCRU.SI,in_sample,,,,
DCRU.SI,oos,-0.30620881395407484,-0.13248987941713875,0.30879079025626555,-0.5661084326757275
M44U.SI,full,-0.011701347821150378,-0.021474032892505268,0.19634540917072577,-0.6738702051318339
M44U.SI,in_sample,-0.12401983747111188,-0.04425094524891815,0.20122296696136327,-0.6738702051318339
M44U.SI,oos,0.1750087005910947,0.01508896663512549,0.18851862464642108,-0.3852651816021967
ME8U.SI,full,0.37713936714153146,0.04439702830399095,0.14174136044961014,-0.2559704677411667
ME8U.SI,in_sample,0.41191704916827787,0.044474797016986534,0.12441323173348963,-0.15472624048203443
ME8U.SI,oos,0.3516091503514801,0.044346333334217336,0.15933613951261252,-0.25597046774116694
QQQ,full,0.3077156766588906,0.044570686494960876,0.2204611589459612,-0.6152701527318812
QQQ,in_sample,0.34444861416475747,0.05417234628585388,0.22887191614068741,-0.6152701527318812
QQQ,oos,0.18793997337146126,0.017743984120722534,0.19520821414972456,-0.31780313630076884
^SPX,full,0.5438439830375642,0.0732817876141374,0.1510292788899033,-0.8417929646772552
^SPX,in_sample,0.557845787051405,0.07534782491253633,0.15055047133460125,-0.8417929646772552
^SPX,oos,0.37182680958323466,0.04708948008916125,0.15704372936599506,-0.3171440866276378
^VIX,full,0.309002770388149,-0.13079995304125958,0.972272122069663,-0.9992745633057654
^VIX,in_sample,0.23952698292707172,-0.16067527548247784,0.9163804761783605,-0.9986849162761873
^VIX,oos,0.5366176130495376,0.0014866734364740175,1.1728647062032669,-0.8465391114693182
^VVIX,full,0.1730666880344738,-0.11180574765768181,0.7089599420144523,-0.946257134514141
^VVIX,in_sample,0.1657628576984817,-0.11623999174241884,0.7118959368599069,-0.8962202876422134
^VVIX,oos,0.18551628035864123,-0.10425360497195568,0.7041639903983372,-0.7807866943054013
