mc,rp,vf,ok,rows,cert,hit,avg_regret,median_regret,final_wealth,avg_abs_target
0.2,3.0,0.0008,1,12,11,0.45454545454545453,0.013425899997852986,0.0025287866571307,0.9539546906712064,0.6815032456269824
0.2,3.0,0.001,1,12,11,0.45454545454545453,0.013323578102530466,0.002528823112762,0.9493008872068104,0.716313008045664
0.2,3.0,0.0015,1,12,11,0.45454545454545453,0.013429289434400348,0.002528705849773,0.95640686787811,0.6518575992506148
0.2,5.0,0.0008,1,12,11,0.36363636363636365,0.014172583558464142,0.004812335393282,0.9510574849562204,0.6816114981780924
0.2,5.0,0.001,1,12,11,0.45454545454545453,0.013332314592923044,0.0025287666267792,0.9470250574416472,0.6934490429561192
0.2,5.0,0.0015,1,12,11,0.36363636363636365,0.014452291761491775,0.0091227049879103,0.9527950929803104,0.6440886039240016
0.2,7.0,0.0008,1,12,11,0.45454545454545453,0.013292832534867556,0.0025287432867454,0.9532679664316512,0.6817036783308464
0.2,7.0,0.001,1,12,11,0.5454545454545454,0.012443092995246506,0.0018084542441898,0.9494821218408136,0.69371557354921
0.2,7.0,0.0015,1,12,11,0.18181818181818182,0.01556419974871285,0.0092999079092537,0.938274885358557,0.6454223017158819
0.25,3.0,0.0008,1,12,11,0.45454545454545453,0.013293289506024345,0.0025288067856882,0.953277466014674,0.660936434549903
0.25,3.0,0.001,1,12,11,0.5454545454545454,0.012434145641469064,0.0018084542441898,0.951263429201282,0.6944891891826087
0.25,3.0,0.0015,1,12,11,0.18181818181818182,0.015564317886493458,0.0093005364089618,0.9382194605848114,0.6454223017158819
0.25,5.0,0.0008,1,12,10,0.5,0.005508409486392205,0.0018355079217271001,0.99362633240679,0.660045062449087
0.25,5.0,0.001,1,12,11,0.45454545454545453,0.013334509068207157,0.0025288177564745,0.9489806682208788,0.6651970550306916
0.25,5.0,0.0015,1,12,11,0.45454545454545453,0.004719914464245033,6.626426531530782e-05,0.9924385122099209,0.613379496204368
0.25,7.0,0.0008,1,12,10,0.5,0.00550839442872429,0.0018355361791272,0.99270853562004,0.660045062449087
0.25,7.0,0.001,1,12,10,0.5,0.013687379344522585,0.0021686345479985,0.9505583655452142,0.6642090318102442
0.25,7.0,0.0015,1,12,11,0.5454545454545454,0.004713959202571073,3.962443495120205e-05,0.9905761689304008,0.6195849814255666
0.35,3.0,0.0008,1,12,10,0.5,0.005508505791326841,0.00183553645763775,0.9930232708530848,0.660045062449087
0.35,3.0,0.001,1,12,10,0.5,0.01367765276053994,0.0021686099163552,0.9572395938673244,0.6659706706640903
0.35,3.0,0.0015,1,12,11,0.5454545454545454,0.004610159830072103,0.0009833774790561,1.0032493835145089,0.618084309570787
0.35,5.0,0.0008,1,12,10,0.5,0.005508563079812079,0.00183549414371545,0.9930127342351877,0.660045062449087
0.35,5.0,0.001,1,12,10,0.5,0.013687298361372908,0.00216862115881,0.9559535008302452,0.6431067055745455
0.35,5.0,0.0015,1,12,11,0.5454545454545454,0.0037811258244356844,3.975814253243115e-05,0.994081391693004,0.6109022624626842
0.35,7.0,0.0008,1,12,10,0.5,0.0055085155710581655,0.00183553723854445,0.9926210120042428,0.660045062449087
0.35,7.0,0.001,1,12,10,0.5,0.01368738345901389,0.002168610582498,0.9552514683985632,0.6431067055745455
0.35,7.0,0.0015,1,12,10,0.4,0.005932327767034061,0.00439065345420815,0.9909079053573788,0.594040111821929
