profile,window_index,forward_return,selected_count
normal,1,-0.021176627324440696,7
normal,2,0.024469617681421574,6
normal,3,0.0014605283828831746,9
normal,4,-0.001551487918678859,9
normal,5,0.006982222642814148,10
normal,6,0.038562059847942705,10
normal,7,0.015712667159453218,10
normal,8,0.0023243971923030404,5
normal,9,0.008733968133022296,3
normal,10,-0.00708620337663346,2
defensive,1,-0.01875164042999375,6
defensive,2,0.023498675033947536,6
defensive,3,0.001617876527237942,8
defensive,4,-0.0021538801168985056,8
defensive,5,0.008752979644415147,8
defensive,6,0.038214977412443216,8
defensive,7,0.02127260837144842,8
defensive,8,0.0023243971923030404,3
defensive,9,0.008733968133022296,2
defensive,10,-0.00708620337663346,2
aggressive,1,-0.022256582644894055,8
aggressive,2,0.024753508547858953,8
aggressive,3,0.0005196588498959244,10
aggressive,4,-0.0013019800811183825,9
aggressive,5,0.006006235748263036,10
aggressive,6,0.03873639039817185,10
aggressive,7,0.013482027471423458,10
aggressive,8,0.036198020868662216,7
aggressive,9,0.008733968133022296,7
aggressive,10,-0.013012870825180656,3
